id,Title,IPC,NBER,NBER_name
6,"Separating, mixing",B01,1,Chemical
6,"Separating, mixing",B02,1,Chemical
6,"Separating, mixing",B03,1,Chemical
6,"Separating, mixing",B04,1,Chemical
6,"Separating, mixing",B05,1,Chemical
6,"Separating, mixing",B06,1,Chemical
6,"Separating, mixing",B07,1,Chemical
6,"Separating, mixing",B08,1,Chemical
6,"Separating, mixing",B09,1,Chemical
12,"Non-organic chemistry, fertilizer",C01,1,Chemical
12,"Non-organic chemistry, fertilizer",C02,1,Chemical
12,"Non-organic chemistry, fertilizer",C03,1,Chemical
12,"Non-organic chemistry, fertilizer",C04,1,Chemical
12,"Non-organic chemistry, fertilizer",C05,1,Chemical
13,"Organic chemistry, pesticides",C07,1,Chemical
13,"Organic chemistry, pesticides",A01N,1,Chemical
14,Organic molecule compounds,C08,1,Chemical
15,"Dyes, petroleum",C09,1,Chemical
15,"Dyes, petroleum",C10,1,Chemical
15,"Dyes, petroleum",C11,1,Chemical
28,"Clock, controlling, computer",G04,2,Computer and Communications
28,"Clock, controlling, computer",G05,2,Computer and Communications
28,"Clock, controlling, computer",G06,2,Computer and Communications
28,"Clock, controlling, computer",G07,2,Computer and Communications
28,"Clock, controlling, computer",G08,2,Computer and Communications
29,"Display, information storage, instruments",G09,2,Computer and Communications
29,"Display, information storage, instruments",G10,2,Computer and Communications
29,"Display, information storage, instruments",G11,2,Computer and Communications
29,"Display, information storage, instruments",G12,2,Computer and Communications
32,"Electronics circuit, communication tech.",H03,2,Computer and Communications
32,"Electronics circuit, communication tech.",H04,2,Computer and Communications
4,Health and amusement,A61,3,Pharmaceuticals and Medical
4,Health and amusement,A62,3,Pharmaceuticals and Medical
4,Health and amusement,A63,3,Pharmaceuticals and Medical
5,Drugs,A61K,3,Pharmaceuticals and Medical
16,"Biotechnology, beer, fermentation",C12,3,Pharmaceuticals and Medical
16,"Biotechnology, beer, fermentation",C13,3,Pharmaceuticals and Medical
16,"Biotechnology, beer, fermentation",C14,3,Pharmaceuticals and Medical
17,Genetic engineering,C12N,3,Pharmaceuticals and Medical
27,"Measurement, optics, photography",G01,4,Electrical and Electronics
27,"Measurement, optics, photography",G02,4,Electrical and Electronics
27,"Measurement, optics, photography",G03,4,Electrical and Electronics
30,Nuclear physics,G21,4,Electrical and Electronics
31,"Electronics components, semi conductor",H01,4,Electrical and Electronics
31,"Electronics components, semi conductor",H02,4,Electrical and Electronics
31,"Electronics components, semi conductor",H05,4,Electrical and Electronics
7,"Machine tools, metal working",B21,5,Mechanical
7,"Machine tools, metal working",B22,5,Mechanical
7,"Machine tools, metal working",B23,5,Mechanical
8,"Casting, grinding, layered product",B24,5,Mechanical
8,"Casting, grinding, layered product",B25,5,Mechanical
8,"Casting, grinding, layered product",B26,5,Mechanical
8,"Casting, grinding, layered product",B27,5,Mechanical
8,"Casting, grinding, layered product",B28,5,Mechanical
8,"Casting, grinding, layered product",B29,5,Mechanical
8,"Casting, grinding, layered product",B30,5,Mechanical
8,"Casting, grinding, layered product",B32,5,Mechanical
10,Transporting,B60,5,Mechanical
