NBER,period,location,tau,p_value,classification
Chemical,first,01101,0.24210524559020996,0.14429199695587158,no pattern detected
Chemical,first,01205,0.15789473056793213,0.34676408767700195,sporadic coldspot
Chemical,first,01213,0.3578947186470032,0.02972257137298584,sporadic coldspot
Chemical,first,01217,-0.10526315122842789,0.5376031994819641,persistent coldspot
Chemical,first,04101,0.34736838936805725,0.03495502471923828,no pattern detected
Chemical,first,06210,0.03157894313335419,0.871131420135498,sporadic coldspot
Chemical,first,06211,0.5578947067260742,6.576776504516602e-4,sporadic coldspot
Chemical,first,06401,-0.6736841797828674,3.781754639931023e-5,no pattern detected
Chemical,first,07201,0.46315786242485046,0.004762768745422363,sporadic coldspot
Chemical,first,07202,0.4842104911804199,0.0031528472900390625,sporadic coldspot
Chemical,first,07203,0.4842104911804199,0.0031528472900390625,sporadic coldspot
Chemical,first,07204,-0.09473683685064316,0.5812547206878662,no pattern detected
Chemical,first,08201,0.2842105031013489,0.08551478385925293,sporadic coldspot
Chemical,first,08202,-0.7789472937583923,1.8485810642232536e-6,sporadic hotspot
Chemical,first,08203,0.5894736647605896,3.16619873046875e-4,consecutive hotspot
Chemical,first,08204,-0.19999998807907104,0.2299690842628479,sporadic coldspot
Chemical,first,08215,-0.09473683685064316,0.5812547206878662,no pattern detected
Chemical,first,08217,-0.4105262756347656,0.012482223100960255,sporadic coldspot
Chemical,first,08220,0.9052630662918091,0,sporadic hotspot
Chemical,first,08221,-0.6526315212249756,6.589326949324459e-5,sporadic coldspot
Chemical,first,08222,-0.5473683476448059,8.324860827997327e-4,no pattern detected
Chemical,first,08227,0.8315789103507996,3.5762786865234375e-7,sporadic hotspot
Chemical,first,08232,-0.505263090133667,0.002054718090221286,no pattern detected
Chemical,first,08236,-0.6315789222717285,1.1298409663140774e-4,no pattern detected
Chemical,first,08309,0.2842105031013489,0.08551478385925293,sporadic coldspot
Chemical,first,08341,-0.7578946948051453,3.49198035110021e-6,no pattern detected
Chemical,first,08443,-0.7263157367706299,8.794621862762142e-6,no pattern detected
Chemical,first,08546,-0.24210524559020996,0.14429202675819397,sporadic coldspot
Chemical,first,08564,-0.6736841797828674,3.781754639931023e-5,sporadic coldspot
Chemical,first,09201,0.021052630618214607,0.922461986541748,sporadic coldspot
Chemical,first,09202,-0.2210526168346405,0.1834472119808197,sporadic coldspot
Chemical,first,09203,0.0736842080950737,0.6731886863708496,persistent coldspot
Chemical,first,09204,0.37894734740257263,0.021248221397399902,sporadic coldspot
Chemical,first,09208,0.5368420481681824,0.001049637794494629,sporadic coldspot
Chemical,first,09209,0.705263078212738,1.5974044799804688e-05,sporadic coldspot
Chemical,first,09216,0.09473683685064316,0.5812547206878662,sporadic coldspot
Chemical,first,09344,0.27368417382240295,0.09799373149871826,no pattern detected
Chemical,first,09361,-0.24210524559020996,0.14429202675819397,sporadic coldspot
Chemical,first,09364,0.021052630618214607,0.922461986541748,sporadic coldspot
Chemical,first,10201,0.24210524559020996,0.14429199695587158,sporadic coldspot
Chemical,first,10202,0.473684161901474,0.0038826465606689453,sporadic coldspot
Chemical,first,10203,0.2631578743457794,0.11188662052154541,sporadic coldspot
Chemical,first,10204,0,1,sporadic coldspot
Chemical,first,10205,0.19999998807907104,0.22996902465820312,sporadic coldspot
Chemical,first,10208,0.0736842080950737,0.6731886863708496,sporadic coldspot
Chemical,first,10209,0.3578947186470032,0.02972257137298584,no pattern detected
Chemical,first,10211,0.5578947067260742,6.576776504516602e-4,no pattern detected
Chemical,first,11101,0.5894736647605896,3.16619873046875e-4,sporadic coldspot
Chemical,first,11105,0.23157893121242523,0.16298437118530273,no pattern detected
Chemical,first,11107,0.23157893121242523,0.16298437118530273,no pattern detected
Chemical,first,11110,-0.21052630245685577,0.20575404167175293,sporadic coldspot
Chemical,first,11201,0.23157893121242523,0.16298437118530273,sporadic coldspot
Chemical,first,11202,-0.042105261236429214,0.8203381896018982,sporadic coldspot
Chemical,first,11203,-0.5684210062026978,5.17485139425844e-4,no pattern detected
Chemical,first,11206,0.1473684161901474,0.3810323476791382,sporadic coldspot
Chemical,first,11208,0.5894736647605896,3.16619873046875e-4,sporadic coldspot
Chemical,first,11210,-0.09473683685064316,0.5812547206878662,sporadic coldspot
Chemical,first,11211,0.42105260491371155,0.010374307632446289,sporadic coldspot
Chemical,first,11212,0.24210524559020996,0.14429199695587158,sporadic coldspot
Chemical,first,11214,-0.8105262517929077,6.906468001943722e-7,sporadic coldspot
Chemical,first,11215,0.5999999642372131,2.461671829223633e-4,sporadic coldspot
Chemical,first,11216,-0.12631577253341675,0.4555354118347168,persistent coldspot
Chemical,first,11217,0.21052630245685577,0.20575404167175293,sporadic coldspot
Chemical,first,11218,0.13684208691120148,0.4173041582107544,sporadic coldspot
Chemical,first,11219,0.6210525631904602,1.4710426330566406e-4,sporadic coldspot
Chemical,first,11221,-0.27368417382240295,0.09799377620220184,sporadic coldspot
Chemical,first,11222,-0.42105260491371155,0.010374261997640133,sporadic coldspot
Chemical,first,11223,0.6631578207015991,5.0067901611328125e-5,sporadic coldspot
Chemical,first,11224,-0.684210479259491,2.8477386877057143e-5,no pattern detected
Chemical,first,11225,0.7578946948051453,3.4570693969726562e-06,sporadic coldspot
Chemical,first,11227,-0.5578947067260742,6.576545420102775e-4,no pattern detected
Chemical,first,11229,-0.6526315212249756,6.589326949324459e-5,no pattern detected
Chemical,first,11230,-0.7263157367706299,8.794621862762142e-6,no pattern detected
Chemical,first,11232,-0.03157894313335419,0.8711314797401428,sporadic coldspot
Chemical,first,11233,-0.0736842080950737,0.6731886863708496,sporadic coldspot
Chemical,first,11235,0.27368417382240295,0.09799373149871826,sporadic coldspot
Chemical,first,11237,-0.6105262637138367,1.906510442495346e-4,no pattern detected
Chemical,first,11238,0.06315788626670837,0.721176266670227,sporadic coldspot
Chemical,first,11239,-0.0736842080950737,0.6731886863708496,sporadic coldspot
Chemical,first,11240,0.3578947186470032,0.02972257137298584,sporadic coldspot
Chemical,first,11241,-0.09473683685064316,0.5812547206878662,sporadic coldspot
Chemical,first,11242,0.06315788626670837,0.721176266670227,sporadic coldspot
Chemical,first,11243,-0.2947368323802948,0.07435290515422821,sporadic coldspot
Chemical,first,11245,0.042105261236429214,0.820338249206543,no pattern detected
Chemical,first,11246,-0.3263157606124878,0.047804590314626694,sporadic coldspot
Chemical,first,11301,0.5684210062026978,5.174875259399414e-4,sporadic coldspot
Chemical,first,11324,0.09473683685064316,0.5812547206878662,sporadic coldspot
Chemical,first,11464,0.15789473056793213,0.34676408767700195,sporadic coldspot
Chemical,first,12101,0.49473679065704346,0.0025502443313598633,sporadic hotspot
Chemical,first,12202,-0.1473684161901474,0.3810323476791382,no pattern detected
Chemical,first,12203,-0.11578946560621262,0.4956626892089844,no pattern detected
Chemical,first,12204,0.1789473593235016,0.284321665763855,sporadic coldspot
Chemical,first,12206,0.6526315212249756,6.592273712158203e-5,consecutive hotspot
Chemical,first,12207,-0.6105262637138367,1.906510442495346e-4,no pattern detected
Chemical,first,12208,-0.021052630618214607,0.9224620461463928,sporadic coldspot
Chemical,first,12210,0.7368420362472534,6.4373016357421875e-6,consecutive hotspot
Chemical,first,12211,-0.473684161901474,0.0038826570380479097,intensifying coldspot
Chemical,first,12212,0.5473683476448059,8.324384689331055e-4,sporadic coldspot
Chemical,first,12213,-0.03157894313335419,0.8711314797401428,persistent coldspot
Chemical,first,12216,0.09473683685064316,0.5812547206878662,no pattern detected
Chemical,first,12217,0.16842104494571686,0.31452488899230957,sporadic coldspot
Chemical,first,12219,0.49473679065704346,0.0025502443313598633,consecutive hotspot
Chemical,first,12220,0.1473684161901474,0.3810323476791382,sporadic coldspot
Chemical,first,12221,0.5157894492149353,0.001649022102355957,sporadic coldspot
Chemical,first,12222,-0.4105262756347656,0.012482223100960255,sporadic coldspot
Chemical,first,12224,0.42105260491371155,0.010374307632446289,sporadic coldspot
Chemical,first,12225,0.6526315212249756,6.592273712158203e-5,consecutive hotspot
Chemical,first,12227,-0.34736838936805725,0.034955061972141266,no pattern detected
Chemical,first,12228,0.5894736647605896,3.16619873046875e-4,sporadic coldspot
Chemical,first,12230,0.5263157486915588,0.001318216323852539,sporadic coldspot
Chemical,first,12232,0.23157893121242523,0.16298437118530273,sporadic coldspot
Chemical,first,12236,-0.1473684161901474,0.3810323476791382,no pattern detected
Chemical,first,12239,0.45263153314590454,0.005819797515869141,sporadic coldspot
Chemical,first,12322,0.5578947067260742,6.576776504516602e-4,sporadic coldspot
Chemical,first,13101,-0.06315788626670837,0.721176266670227,persistent hotspot
Chemical,first,13102,0.021052630618214607,0.922461986541748,persistent hotspot
Chemical,first,13103,0,1,persistent hotspot
Chemical,first,13104,-0.2631578743457794,0.1118866577744484,persistent hotspot
Chemical,first,13105,-0.18947367370128632,0.2561449408531189,persistent hotspot
Chemical,first,13106,-0.03157894313335419,0.8711314797401428,persistent hotspot
Chemical,first,13107,-0.06315788626670837,0.721176266670227,sporadic hotspot
Chemical,first,13108,-0.13684208691120148,0.4173041582107544,persistent hotspot
Chemical,first,13109,-0.27368417382240295,0.09799377620220184,persistent hotspot
Chemical,first,13110,-0.3263157606124878,0.047804590314626694,diminishing hotspot
Chemical,first,13111,-0.30526313185691833,0.06441100686788559,persistent hotspot
Chemical,first,13112,-0.8105262517929077,6.906468001943722e-7,sporadic hotspot
Chemical,first,13113,-0.30526313185691833,0.06441100686788559,persistent hotspot
Chemical,first,13114,-0.3999999761581421,0.01496101077646017,sporadic hotspot
Chemical,first,13115,-0.8421052098274231,2.4874836412891455e-7,sporadic hotspot
Chemical,first,13116,-0.3263157606124878,0.047804590314626694,sporadic hotspot
Chemical,first,13117,-0.45263153314590454,0.005819813814014196,no pattern detected
Chemical,first,13118,-0.11578946560621262,0.4956626892089844,no pattern detected
Chemical,first,13119,-0.8105262517929077,6.906468001943722e-7,no pattern detected
Chemical,first,13120,-0.884210467338562,6.020346177137981e-8,no pattern detected
Chemical,first,13121,-0.23157893121242523,0.16298440098762512,no pattern detected
Chemical,first,13122,-0.10526315122842789,0.5376031994819641,no pattern detected
Chemical,first,13123,-0.0736842080950737,0.6731886863708496,consecutive hotspot
Chemical,first,13201,-0.2210526168346405,0.1834472119808197,sporadic coldspot
Chemical,first,13202,0.49473679065704346,0.0025502443313598633,sporadic coldspot
Chemical,first,13203,-0.9157894253730774,1.990083831060474e-8,no pattern detected
Chemical,first,13204,-0.9263157248497009,1.3647785124248912e-8,no pattern detected
Chemical,first,13206,-0.49473679065704346,0.0025502173230051994,sporadic coldspot
Chemical,first,13207,0.5157894492149353,0.001649022102355957,no pattern detected
Chemical,first,13208,-0.8736841678619385,8.636105519599369e-8,no pattern detected
Chemical,first,13209,-0.3263157606124878,0.047804590314626694,no pattern detected
Chemical,first,13210,-0.3368420898914337,0.04095454514026642,sporadic coldspot
Chemical,first,13211,0.3684210181236267,0.02517831325531006,sporadic coldspot
Chemical,first,13212,-0.473684161901474,0.0038826570380479097,no pattern detected
Chemical,first,13213,0.5789473056793213,4.055500030517578e-4,sporadic coldspot
Chemical,first,13214,-0.21052630245685577,0.20575404167175293,sporadic coldspot
Chemical,first,13215,-0.4842104911804199,0.0031528358813375235,no pattern detected
Chemical,first,13219,-0.8736841678619385,8.636105519599369e-8,sporadic hotspot
Chemical,first,13220,0.5368420481681824,0.001049637794494629,sporadic coldspot
Chemical,first,13221,0.442105233669281,0.007083892822265625,sporadic coldspot
Chemical,first,13222,0.5473683476448059,8.324384689331055e-4,sporadic coldspot
Chemical,first,13223,0.5263157486915588,0.001318216323852539,sporadic coldspot
Chemical,first,13224,-0.642105221748352,8.645681373309344e-5,no pattern detected
Chemical,first,13225,-0.82105255126953125,4.933933723805239e-7,no pattern detected
Chemical,first,13227,-0.042105261236429214,0.8203381896018982,sporadic coldspot
Chemical,first,13228,0.08421052247285843,0.6264963150024414,no pattern detected
Chemical,first,13229,-0.7157894372940063,1.1869090485561173e-5,no pattern detected
Chemical,first,14104,0.4315789043903351,0.00858914852142334,intensifying hotspot
Chemical,first,14131,-0.5578947067260742,6.576545420102775e-4,diminishing hotspot
Chemical,first,14151,-0.24210524559020996,0.14429202675819397,no pattern detected
Chemical,first,14152,-0.38947364687919617,0.017863627523183823,no pattern detected
Chemical,first,14201,-0.642105221748352,8.645681373309344e-5,no pattern detected
Chemical,first,14203,0.3368420898914337,0.04095458984375,no pattern detected
Chemical,first,14204,-0.37894734740257263,0.021248240023851395,no pattern detected
Chemical,first,14205,-0.4315789043903351,0.008589176461100578,no pattern detected
Chemical,first,14206,0.37894734740257263,0.021248221397399902,sporadic coldspot
Chemical,first,14207,0.705263078212738,1.5974044799804688e-05,sporadic hotspot
Chemical,first,14208,-0.6631578207015991,5.0019516493193805e-5,no pattern detected
Chemical,first,14211,0.8105262517929077,7.152557373046875e-7,sporadic coldspot
Chemical,first,14212,0.7368420362472534,6.4373016357421875e-6,sporadic coldspot
Chemical,first,14213,-0.21052630245685577,0.20575404167175293,no pattern detected
Chemical,first,14214,0.8421052098274231,2.384185791015625e-7,consecutive hotspot
Chemical,first,14215,-0.2526315450668335,0.12728866934776306,sporadic coldspot
Chemical,first,14216,-0.16842104494571686,0.3145248293876648,sporadic coldspot
Chemical,first,14217,0.747368335723877,4.76837158203125e-6,sporadic coldspot
Chemical,first,14218,0.021052630618214607,0.922461986541748,no pattern detected
Chemical,first,14321,0.6210525631904602,1.4710426330566406e-4,sporadic hotspot
Chemical,first,14341,0.5578947067260742,6.576776504516602e-4,consecutive hotspot
Chemical,first,14342,0.7368420362472534,6.4373016357421875e-6,no pattern detected
Chemical,first,14361,0.8526315093040466,1.1920928955078125e-7,no pattern detected
Chemical,first,14362,0.3263157606124878,0.04780459403991699,sporadic coldspot
Chemical,first,14366,0.747368335723877,4.76837158203125e-6,sporadic coldspot
Chemical,first,14401,-0.03157894313335419,0.8711314797401428,no pattern detected
Chemical,first,15103,0.5789473056793213,4.055500030517578e-4,no pattern detected
Chemical,first,15202,0.052631575614213943,0.7702877521514893,sporadic coldspot
Chemical,first,15222,0.49473679065704346,0.0025502443313598633,sporadic coldspot
Chemical,first,15227,-0.6736841797828674,3.781754639931023e-5,no pattern detected
Chemical,first,16201,-0.5789473056793213,4.0557849570177495e-4,sporadic coldspot
Chemical,first,16202,-0.08421052247285843,0.6264962553977966,sporadic coldspot
Chemical,first,16204,0.1473684161901474,0.3810323476791382,persistent coldspot
Chemical,first,16206,-0.5263157486915588,0.0013182165566831827,sporadic coldspot
Chemical,first,16207,0.23157893121242523,0.16298437118530273,persistent coldspot
Chemical,first,16211,-0.4315789043903351,0.008589176461100578,no pattern detected
Chemical,first,16322,-0.2842105031013489,0.08551478385925293,sporadic coldspot
Chemical,first,17201,0.5684210062026978,5.174875259399414e-4,sporadic coldspot
Chemical,first,18202,0.03157894313335419,0.871131420135498,sporadic coldspot
Chemical,first,18210,-0.27368417382240295,0.09799377620220184,sporadic coldspot
Chemical,first,20201,-0.08421052247285843,0.6264962553977966,sporadic coldspot
Chemical,first,20202,-0.5263157486915588,0.0013182165566831827,sporadic coldspot
Chemical,first,20203,-0.021052630618214607,0.9224620461463928,sporadic coldspot
Chemical,first,20206,0.16842104494571686,0.31452488899230957,no pattern detected
Chemical,first,20215,-0.34736838936805725,0.034955061972141266,sporadic coldspot
Chemical,first,20218,-0.13684208691120148,0.4173041582107544,sporadic coldspot
Chemical,first,20220,-0.11578946560621262,0.4956626892089844,sporadic coldspot
Chemical,first,20521,-0.15789473056793213,0.34676408767700195,sporadic coldspot
Chemical,first,21201,-0.23157893121242523,0.16298440098762512,sporadic coldspot
Chemical,first,21202,-0.505263090133667,0.002054718090221286,sporadic coldspot
Chemical,first,21213,0.0736842080950737,0.6731886863708496,sporadic coldspot
Chemical,first,21216,-0.4842104911804199,0.0031528358813375235,sporadic coldspot
Chemical,first,21361,-0.3999999761581421,0.01496101077646017,sporadic coldspot
Chemical,first,21381,-0.5578947067260742,6.576545420102775e-4,sporadic coldspot
Chemical,first,22101,0.5263157486915588,0.001318216323852539,sporadic coldspot
Chemical,first,22103,0.3578947186470032,0.02972257137298584,no pattern detected
Chemical,first,22131,0.8315789103507996,3.5762786865234375e-7,no pattern detected
Chemical,first,22203,-0.021052630618214607,0.9224620461463928,no pattern detected
Chemical,first,22206,0.09473683685064316,0.5812547206878662,sporadic coldspot
Chemical,first,22207,0.21052630245685577,0.20575404167175293,no pattern detected
Chemical,first,22210,0.18947367370128632,0.25614500045776367,sporadic coldspot
Chemical,first,22211,0.3368420898914337,0.04095458984375,sporadic coldspot
Chemical,first,22212,-0.0736842080950737,0.6731886863708496,sporadic coldspot
Chemical,first,22213,-0.12631577253341675,0.4555354118347168,sporadic coldspot
Chemical,first,22214,0.2526315450668335,0.12728869915008545,sporadic coldspot
Chemical,first,22216,0.23157893121242523,0.16298437118530273,sporadic coldspot
Chemical,first,22220,-0.042105261236429214,0.8203381896018982,no pattern detected
Chemical,first,22224,-0.1789473593235016,0.284321665763855,sporadic coldspot
Chemical,first,22225,0.2526315450668335,0.12728869915008545,sporadic coldspot
Chemical,first,22226,-0.1789473593235016,0.284321665763855,sporadic coldspot
Chemical,first,22342,0.08421052247285843,0.6264963150024414,no pattern detected
Chemical,first,22424,-0.052631575614213943,0.7702877521514893,sporadic coldspot
Chemical,first,23106,0.8315789103507996,3.5762786865234375e-7,consecutive hotspot
Chemical,first,23202,0.45263153314590454,0.005819797515869141,sporadic coldspot
Chemical,first,23203,-0.03157894313335419,0.8711314797401428,persistent coldspot
Chemical,first,23204,0.5684210062026978,5.174875259399414e-4,sporadic coldspot
Chemical,first,23205,-0.46315786242485046,0.004762812051922083,sporadic coldspot
Chemical,first,23206,0.42105260491371155,0.010374307632446289,sporadic coldspot
Chemical,first,23207,0.0736842080950737,0.6731886863708496,sporadic coldspot
Chemical,first,23210,0.6105262637138367,1.9061565399169922e-4,sporadic coldspot
Chemical,first,23211,0.6526315212249756,6.592273712158203e-5,sporadic coldspot
Chemical,first,23212,0.5789473056793213,4.055500030517578e-4,sporadic coldspot
Chemical,first,23213,0.5684210062026978,5.174875259399414e-4,sporadic coldspot
Chemical,first,23214,0.3263157606124878,0.04780459403991699,sporadic coldspot
Chemical,first,23215,0.11578946560621262,0.4956626892089844,sporadic coldspot
Chemical,first,23217,-0.042105261236429214,0.8203381896018982,persistent coldspot
Chemical,first,23220,-0.2210526168346405,0.1834472119808197,sporadic coldspot
Chemical,first,23222,0.10526315122842789,0.5376031398773193,sporadic coldspot
Chemical,first,23223,0.7263157367706299,8.8214874267578125e-06,sporadic coldspot
Chemical,first,23225,0.5684210062026978,5.174875259399414e-4,sporadic coldspot
Chemical,first,23226,0.30526313185691833,0.06441104412078857,sporadic coldspot
Chemical,first,23228,-0.15789473056793213,0.34676408767700195,persistent coldspot
Chemical,first,23229,0.5684210062026978,5.174875259399414e-4,sporadic coldspot
Chemical,first,23230,0.12631577253341675,0.4555354118347168,no pattern detected
Chemical,first,23233,-0.2842105031013489,0.08551478385925293,sporadic coldspot
Chemical,first,23234,-0.1473684161901474,0.3810323476791382,sporadic coldspot
Chemical,first,23236,0.46315786242485046,0.004762768745422363,sporadic coldspot
Chemical,first,23237,-0.27368417382240295,0.09799377620220184,sporadic coldspot
Chemical,first,23238,0.4842104911804199,0.0031528472900390625,sporadic coldspot
Chemical,first,23302,0.38947364687919617,0.01786363124847412,sporadic coldspot
Chemical,first,23361,-0.12631577253341675,0.4555354118347168,persistent coldspot
Chemical,first,23362,0,1,persistent coldspot
Chemical,first,23425,-0.46315786242485046,0.004762812051922083,sporadic coldspot
Chemical,first,23441,-0.0736842080950737,0.6731886863708496,sporadic coldspot
Chemical,first,23447,-0.38947364687919617,0.017863627523183823,no pattern detected
Chemical,first,24201,0.5894736647605896,3.16619873046875e-4,sporadic coldspot
Chemical,first,24202,0.4105262756347656,0.012482166290283203,no pattern detected
Chemical,first,24204,0.7263157367706299,8.8214874267578125e-06,sporadic coldspot
Chemical,first,24205,0.46315786242485046,0.004762768745422363,sporadic hotspot
Chemical,first,24207,0.442105233669281,0.007083892822265625,sporadic hotspot
Chemical,first,24208,0.505263090133667,0.0020546913146972656,sporadic coldspot
Chemical,first,24341,0.4315789043903351,0.00858914852142334,sporadic hotspot
Chemical,first,25201,0.6105262637138367,1.9061565399169922e-4,no pattern detected
Chemical,first,25202,0.2526315450668335,0.12728869915008545,sporadic coldspot
